,tweet_id,text,favorite_count,retweet_count,created_at
121,1317243814931726343,"RT @demi_jaynexx: We’re on the absolute brink of being put back on a full lockdown- it’s almost winter, freezing cold, gets dark early, gym…",0,3743,Fri Oct 16 23:19:33 +0000 2020
122,1317243805993664513,"RT @piersmorgan: 1) We locked down too late in March.
2) We lifted lockdown too fast in the summer.
3) We're delaying lockdown too late aga…",0,7432,Fri Oct 16 23:19:31 +0000 2020
123,1317243804869488640,RT @pyrokels: I hope everyone but the 7k haoles who arrived in Hawai'i yesterday are having a good day. We only goin end up back in lockdow…,0,27,Fri Oct 16 23:19:30 +0000 2020
124,1317243803795968000,"RT @demi_jaynexx: We’re on the absolute brink of being put back on a full lockdown- it’s almost winter, freezing cold, gets dark early, gym…",0,3743,Fri Oct 16 23:19:30 +0000 2020
125,1317243802835353601,"@DrMikeMendoza Real scientists oppose lock downs.

https://t.co/TUoNk5gsMk",0,0,Fri Oct 16 23:19:30 +0000 2020
126,1317243802457812992,RT @ComissionerKate: TO ALL VICTORIANS: your strength in enduring such a tough lockdown has saved thousands of lives. You can’t know the na…,0,24,Fri Oct 16 23:19:30 +0000 2020
127,1317243799974813696,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:19:29 +0000 2020
128,1317243795558211584,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:19:28 +0000 2020
129,1317243794304028673,@abigiles21 in Melbourne lockdown this has been me since June,0,0,Fri Oct 16 23:19:28 +0000 2020
130,1317243793377251328,RT @emso500: 56.42 mins in2 @CamelPhat at the printworks an this is my comin out of lockdown anthem💃🍾🥂🔥,0,1,Fri Oct 16 23:19:28 +0000 2020
131,1317243792697794562,RT @witchyqueer: not-so-gentle reminder that all the “sacrifices” you made during lockdown are things that disabled and chronically ill peo…,0,1298,Fri Oct 16 23:19:28 +0000 2020
132,1317243791821058049,@VicGovDHHS I bet Desperate Dan has some excuse to keep us in lockdown tomorrow.,0,0,Fri Oct 16 23:19:27 +0000 2020
133,1317243791326253069,RT @TrinisareWe: Me and my friend when  lockdown finally ends https://t.co/0R68JuTk1l,0,181,Fri Oct 16 23:19:27 +0000 2020
134,1317243787534618625,"RT @EthicalSkeptic: Now compare the TES chart on the left to the CDC chart on the right and a horrid realization becomes clear:

The CDC is…",0,294,Fri Oct 16 23:19:26 +0000 2020
135,1317243785936433152,"RT @sandibackup: @LSanditon It used to be by height, but during lockdown when I had a clear out I rearranged them into fiction &amp; non-fictio…",0,13,Fri Oct 16 23:19:26 +0000 2020
136,1317243785676378112,RT @MichaelWestBiz: Hyper-partisan reporting of the Covid Crisis in Victoria has amplified the failure of mainstream media in Australia. Me…,0,472,Fri Oct 16 23:19:26 +0000 2020
137,1317243770862096384,"RT @Ro_Smith: Daniel Andrews said yesterday, correctly, that we ""haven't listened to the loudest voices, haven't lost our nerve"". Lockdown…",0,111,Fri Oct 16 23:19:22 +0000 2020
138,1317243770333704192,"RT @darrengrimes_: Whenever I want to moan about being unable to see people, going to the pub and feeling glum, I think of my two brothers…",0,10,Fri Oct 16 23:19:22 +0000 2020
139,1317243755313856512,RT @witchyqueer: not-so-gentle reminder that all the “sacrifices” you made during lockdown are things that disabled and chronically ill peo…,0,1298,Fri Oct 16 23:19:19 +0000 2020
140,1317243752734392320,@kavmcfc I'm in the North too and in a tier 3 lockdown area. London figures are no where near as bad at the minute.… https://t.co/XoZdX6ER2s,0,0,Fri Oct 16 23:19:18 +0000 2020
141,1317243748502376448,"@FfotoAber @catrinms @CyngorAber @Galactig @GelertPost Just thinking, we'll probably be under lockdown next Saturda… https://t.co/biRHE9A3r7",0,0,Fri Oct 16 23:19:17 +0000 2020
142,1317243747902566400,RT @toonaghns: Well done to Lily @toonaghns who wrote a fantastic poem during lockdown and which was published recently by Fr. Arnold Rosne…,0,2,Fri Oct 16 23:19:17 +0000 2020
143,1317243745159442433,VICTORIA'S INSANE LOCKDOWN WITH ZERO DEATHS TOUGHER THAN UK's WITH 100+ ... https://t.co/aYXRdPcNwP via @YouTube,0,0,Fri Oct 16 23:19:16 +0000 2020
144,1317243743938936835,"RT @GeorgeMonbiot: We're going into partial lockdown partly because of the failure of test and trace.
It has failed because instead of usin…",0,2322,Fri Oct 16 23:19:16 +0000 2020
145,1317243741581807616,"RT @Andie_antwortet: Mantras zur Volksbeschwichtigung:

+ Ein Lockdown muss unbedingt vermieden werden
+ Kinder sind keine Infektionstreibe…",0,16,Fri Oct 16 23:19:15 +0000 2020
